lookback,hidden_size,num_layers,learning_rate,batch_size,epochs,train_rmse,test_rmse,test_mae,test_r2,training_time,trial_number
42,53,5,0.01032833974654988,37,75,0.23610967,0.1969237,0.1648927479982376,-0.05934441089630127,346.21114802360535,1
24,91,2,0.012759686136280085,19,230,0.2609746,0.21236986,0.16325265169143677,-0.23472845554351807,1840.78578042984,2
48,8,6,0.011196507183983264,45,52,0.062023714,0.070331246,0.048714540898799896,0.8647862672805786,2056.505075454712,3
12,138,3,0.0012002827428180861,63,108,0.06240173,0.06951147,0.04639274999499321,0.8675671815872192,2319.3420836925507,4
12,161,3,0.046825215235985235,38,265,0.4870459,0.43677732,0.39287516474723816,-4.228808879852295,3324.6100704669952,5
42,120,1,0.039881595188046494,43,146,0.32417762,0.317107,0.24577170610427856,-1.7469632625579834,3730.700283765793,6
12,65,2,0.014482522888542525,45,258,0.24660808,0.21502915,0.17892594635486603,-0.26729369163513184,4491.892450094223,7
18,105,2,0.019201554025285252,36,102,0.26474616,0.24943088,0.21213528513908386,-0.7041575908660889,4854.825266361237,8
36,16,5,0.005809232814970414,35,282,0.06426064,0.07103482,0.04835057631134987,0.8620473146438599,6261.917271614075,9
42,89,4,0.0076715264194106925,62,261,0.23946886,0.25664166,0.2287994623184204,-0.7992663383483887,6975.615996360779,10
24,256,1,0.001,16,50,0.06776812,0.07401115,0.05012631416320801,0.8500384092330933,7312.887569665909,11
48,70,4,0.03861322198707838,16,263,0.26823363,0.25464582,0.19364452362060547,-0.7725449800491333,9775.99427318573,12
18,8,2,0.002405675084685073,16,50,0.05612785,0.065239854,0.04256518930196762,0.883417010307312,10154.863203763962,13
36,8,6,0.004018654994331469,16,116,0.057014152,0.064749904,0.04408901929855347,0.8853785395622253,11423.794054985046,14
18,8,6,0.001853329887329869,16,300,0.0525931,0.0690604,0.04460261017084122,0.8693625926971436,14752.183913469315,15
12,146,1,0.001,64,50,0.05949484,0.066911995,0.04382315278053284,0.877286970615387,14850.767593860626,16
12,8,1,0.0015876317260763747,64,50,0.057762392,0.06465755,0.04148668795824051,0.8854168057441711,14947.155458688736,17
18,8,3,0.0025488633596246874,57,300,0.05216757,0.065886796,0.04303961247205734,0.8810933828353882,15743.659453868866,18
42,256,6,0.001,43,107,0.22776997,0.22117865,0.18718309700489044,-0.3363727331161499,16202.226243972778,19
24,123,1,0.001,64,50,0.05807939,0.070580736,0.04704160988330841,0.8636176586151123,16300.036467313766,20
48,8,3,0.0071415327009771885,16,50,0.05976485,0.06640894,0.04558012634515762,0.8794472217559814,16719.0289580822,21
12,8,1,0.001,64,50,0.057225224,0.06609937,0.04162862151861191,0.880249559879303,16815.60475921631,22
12,8,1,0.0029447553116147018,64,50,0.057044078,0.06571211,0.042489174753427505,0.881648600101471,16911.568125009537,23
36,8,1,0.001,64,81,0.056449004,0.064151786,0.04226304590702057,0.8874863386154175,17066.610843658447,24
24,8,1,0.001,64,50,0.05820398,0.064662464,0.04239929839968681,0.885530412197113,17164.79056406021,25
24,8,1,0.0016868702667704153,64,50,0.056869563,0.06529382,0.042060595005750656,0.8832841515541077,17261.728576660156,26
36,8,1,0.001,64,50,0.05814607,0.06557359,0.04348282516002655,0.8824437856674194,17359.406682014465,27
12,87,5,0.007132943886650979,40,256,0.23880881,0.20761581,0.174272820353508,-0.1814175844192505,18506.79388165474,28
36,8,1,0.0018245232415221991,64,50,0.05755965,0.06539035,0.04328121617436409,0.8830999135971069,18603.41319155693,29
24,8,1,0.001384256983908878,16,50,0.05666569,0.06714041,0.04206111282110214,0.8765890598297119,18936.494188070297,30
18,8,1,0.001,64,50,0.057688043,0.06566274,0.0437319241464138,0.8819006681442261,19035.154361248016,31
48,158,5,0.037485182098455735,45,65,0.31624886,0.2559898,0.21590839326381683,-0.7913045883178711,19303.21517777443,32
18,8,1,0.0054533235642370914,64,50,0.057304367,0.065608345,0.04219157248735428,0.8820962905883789,19401.39699935913,33
36,8,1,0.0027696953078997673,64,50,0.057251573,0.06306849,0.041305966675281525,0.891254186630249,19497.745193004608,34
48,256,1,0.001,16,64,0.07830226,0.08126537,0.0602058507502079,0.8194758892059326,19947.041204690933,35
24,143,1,0.001,34,50,0.059759915,0.065139376,0.041815824806690216,0.8838356733322144,20114.83893275261,36
