lookback,hidden_size,num_layers,learning_rate,batch_size,epochs,train_rmse,test_rmse,test_mae,test_r2,training_time,trial_number
42,53,5,0.01032833974654988,37,75,0.23139217,0.21886162,0.19315333664417267,-0.3085203170776367,347.52350068092346,1
24,91,2,0.012759686136280085,19,230,0.23827146,0.2109573,0.15898267924785614,-0.21835780143737793,1765.2660052776337,2
48,8,6,0.011196507183983264,45,52,0.08128195,0.1409491,0.08910201489925385,0.4569387435913086,1967.777310848236,3
12,138,3,0.0012002827428180861,63,108,0.0580547,0.06603277,0.044218048453330994,0.8804907202720642,2216.2820687294006,4
12,161,3,0.046825215235985235,38,265,0.34255877,0.3816146,0.29595497250556946,-2.991467237472534,3163.7684609889984,5
42,120,1,0.039881595188046494,43,146,0.31451425,0.25847238,0.2164587527513504,-0.8250278234481812,3560.7015430927277,6
12,65,2,0.014482522888542525,45,258,0.25145483,0.2217617,0.18086452782154083,-0.34789395332336426,4290.111846923828,7
18,105,2,0.019201554025285252,36,102,0.27550906,0.21743675,0.17464253306388855,-0.2950162887573242,4657.537455558777,8
36,16,5,0.005809232814970414,35,282,0.08762043,0.09490008,0.06265078485012054,0.7537814378738403,6028.947870492935,9
42,89,4,0.0076715264194106925,62,261,0.25363195,0.21705326,0.18450471758842468,-0.2869861125946045,6738.940184831619,10
24,208,1,0.001,16,128,0.06478247,0.079766005,0.05325808748602867,0.8258107304573059,7609.264248609543,11
18,8,6,0.0013884264902408795,16,267,0.05033628,0.068980925,0.04493192955851555,0.8696631193161011,10460.458807229996,12
12,8,6,0.0020603891620829267,64,50,0.05608071,0.065333106,0.04308949038386345,0.8830099105834961,10605.929513692856,13
12,8,6,0.0026476366521400252,64,100,0.05631591,0.06304071,0.04152234271168709,0.8910756707191467,10892.24446964264,14
12,256,2,0.0032383347419227757,64,300,0.24027228,0.22733054,0.19390974938869476,-0.41643989086151123,11516.972224473953,15
24,94,3,0.001,38,50,0.056993693,0.066518635,0.04387456551194191,0.8788642287254333,11711.708806276321,16
18,8,6,0.002964277767696906,57,50,0.05870039,0.062067788,0.04159659147262573,0.8944782614707947,11878.898497104645,17
18,156,1,0.001,16,143,0.06087986,0.06563236,0.043896544724702835,0.8820099830627441,12833.538526296616,18
