lookback,hidden_size,num_layers,learning_rate,batch_size,epochs,train_rmse,test_rmse,test_mae,test_r2,training_time,trial_number
42,53,5,0.01032833974654988,37,75,0.23139217,0.21886162,0.19315333664417267,-0.3085203170776367,347.52350068092346,1
24,91,2,0.012759686136280085,19,230,0.23827146,0.2109573,0.15898267924785614,-0.21835780143737793,1765.2660052776337,2
48,8,6,0.011196507183983264,45,52,0.08128195,0.1409491,0.08910201489925385,0.4569387435913086,1967.777310848236,3
12,138,3,0.0012002827428180861,63,108,0.0580547,0.06603277,0.044218048453330994,0.8804907202720642,2216.2820687294006,4
12,161,3,0.046825215235985235,38,265,0.34255877,0.3816146,0.29595497250556946,-2.991467237472534,3163.7684609889984,5
42,120,1,0.039881595188046494,43,146,0.31451425,0.25847238,0.2164587527513504,-0.8250278234481812,3560.7015430927277,6
12,65,2,0.014482522888542525,45,258,0.25145483,0.2217617,0.18086452782154083,-0.34789395332336426,4290.111846923828,7
18,105,2,0.019201554025285252,36,102,0.27550906,0.21743675,0.17464253306388855,-0.2950162887573242,4657.537455558777,8
36,16,5,0.005809232814970414,35,282,0.08762043,0.09490008,0.06265078485012054,0.7537814378738403,6028.947870492935,9
42,89,4,0.0076715264194106925,62,261,0.25363195,0.21705326,0.18450471758842468,-0.2869861125946045,6738.940184831619,10
24,208,1,0.001,16,128,0.06478247,0.079766005,0.05325808748602867,0.8258107304573059,7609.264248609543,11
18,8,6,0.0013884264902408795,16,267,0.05033628,0.068980925,0.04493192955851555,0.8696631193161011,10460.458807229996,12
12,8,6,0.0020603891620829267,64,50,0.05608071,0.065333106,0.04308949038386345,0.8830099105834961,10605.929513692856,13
12,8,6,0.0026476366521400252,64,100,0.05631591,0.06304071,0.04152234271168709,0.8910756707191467,10892.24446964264,14
12,256,2,0.0032383347419227757,64,300,0.24027228,0.22733054,0.19390974938869476,-0.41643989086151123,11516.972224473953,15
24,94,3,0.001,38,50,0.056993693,0.066518635,0.04387456551194191,0.8788642287254333,11711.708806276321,16
18,8,6,0.002964277767696906,57,50,0.05870039,0.062067788,0.04159659147262573,0.8944782614707947,11878.898497104645,17
18,156,1,0.001,16,143,0.06087986,0.06563236,0.043896544724702835,0.8820099830627441,12833.538526296616,18
18,31,1,0.002267599500387771,16,94,0.056931905,0.066442184,0.04164215177297592,0.8790802955627441,13463.498408317566,19
36,8,6,0.0029672210987104377,64,83,0.055503596,0.067329876,0.043881192803382874,0.8760623931884766,13701.330709934235,20
12,142,6,0.001,64,50,0.13743863,0.09285811,0.06459783017635345,0.7636681199073792,13858.239187717438,21
18,129,1,0.001,64,50,0.058469806,0.064256184,0.0411590039730072,0.886906087398529,13955.522373199463,22
18,8,1,0.001,16,300,0.05465217,0.06634026,0.04094412550330162,0.8794509768486023,15947.773674488068,23
24,8,1,0.001,16,300,0.054877102,0.062344097,0.0396314412355423,0.8935914635658264,17938.2192633152,24
24,8,1,0.001,53,300,0.054668527,0.062858544,0.04019095003604889,0.8918281197547913,18610.75922846794,25
24,8,1,0.0016242478172812875,16,300,0.05495933,0.0657507,0.041991908103227615,0.8816450238227844,20602.487373113632,26
18,8,6,0.0030320528552093837,16,222,0.056146104,0.06750834,0.044838059693574905,0.87516850233078,22992.281375408173,27
12,94,1,0.0012208314067587206,16,141,0.055159338,0.06787982,0.04563988000154495,0.8737114667892456,23912.96334171295,28
24,108,1,0.001314217845527024,16,50,0.06719562,0.07457617,0.05156297609210014,0.8477399945259094,24251.45240354538,29
18,8,3,0.00255961234512691,28,50,0.056584653,0.06708296,0.04258427396416664,0.8767367005348206,24495.455467939377,30
12,8,1,0.001,16,300,0.054675505,0.067420244,0.043979842215776443,0.8754157423973083,26490.776117563248,31
12,54,4,0.007289565533925759,19,153,0.2402971,0.21175186,0.1739528775215149,-0.22895801067352295,27647.135934114456,32
18,8,6,0.002602111359583191,44,50,0.057173323,0.06677517,0.04713393747806549,0.877865195274353,27859.54530286789,33
48,8,2,0.0018116816189750913,64,299,0.054549526,0.066147335,0.04261292517185211,0.8803951144218445,28507.41344690323,34
18,8,1,0.001,64,300,0.05568006,0.063572586,0.04051506891846657,0.8892996311187744,29078.748141527176,35
48,8,6,0.003114631166869201,64,50,0.056364708,0.06466951,0.041299305856227875,0.8856797218322754,29226.936800956726,36
24,8,1,0.0012152684673108869,64,261,0.05478185,0.06425011,0.04117908328771591,0.8869856595993042,29726.991546154022,37
18,8,1,0.001,64,50,0.057402637,0.06210535,0.04024670273065567,0.894350528717041,29825.196155786514,38
18,8,1,0.001040336309267493,64,50,0.057249643,0.0648594,0.04186161607503891,0.884772777557373,29921.385289669037,39
24,213,5,0.0014785931646709603,58,265,0.23597507,0.21312459,0.1855647712945938,-0.24352014064788818,30693.612805604935,40
24,45,1,0.001,64,50,0.056667402,0.06573603,0.04360673949122429,0.8816978335380554,30788.364419221878,41
24,40,6,0.001,64,70,0.055504493,0.06737554,0.044896967709064484,0.875723123550415,30981.773225307465,42
24,25,1,0.001,64,50,0.057734106,0.06867062,0.04557626321911812,0.8708995580673218,31075.46205306053,43
24,74,1,0.001,64,50,0.05780352,0.06319087,0.04271508380770683,0.8906813263893127,31169.509610891342,44
24,8,1,0.0029886651287490376,64,50,0.05673108,0.06592042,0.04197065532207489,0.8810332417488098,31263.714372634888,45
24,52,1,0.0014510810302092486,64,50,0.056881875,0.06507666,0.04133300855755806,0.8840592503547668,31358.668719291687,46
12,131,3,0.001,64,300,0.04865606,0.06779828,0.04402392357587814,0.874014675617218,32115.94438767433,47
12,142,1,0.0014040046172856036,64,300,0.054485768,0.06397024,0.04312466084957123,0.8878398537635803,32692.451723337173,48
48,256,1,0.001,16,99,0.06495643,0.06238606,0.04088219627737999,0.8936103582382202,33317.5842063427,49
12,73,6,0.001,64,240,0.039698962,0.07255553,0.049477025866508484,0.8557142019271851,34041.51801609993,50
36,8,1,0.049999999999999996,61,116,0.066137284,0.06610251,0.04624377563595772,0.8805397152900696,34271.72082042694,51
36,8,6,0.001161818848665797,64,50,0.05655449,0.06526638,0.04182475432753563,0.8835427165031433,34417.996579408646,52
18,8,6,0.049999999999999996,64,50,0.23826122,0.2369434,0.2114763706922531,-0.5377954244613647,34569.92640328407,53
36,256,1,0.049999999999999996,50,74,0.33712965,0.31770194,0.26893532276153564,-1.7594809532165527,34857.69062995911,54
12,8,5,0.003032040129904598,64,50,0.058151197,0.06744499,0.04627487063407898,0.8753242492675781,34994.33846116066,55
24,8,6,0.002844151768009271,64,50,0.057552963,0.06624691,0.04402071610093117,0.8798518776893616,35147.17444038391,56
24,8,3,0.001,64,50,0.056554314,0.061195847,0.03895149752497673,0.8974750638008118,35268.02475786209,57
24,8,4,0.001,64,50,0.056666486,0.06305779,0.041552670300006866,0.8911412954330444,35399.890555143356,58
18,8,1,0.013935784052028933,64,50,0.05782448,0.06580992,0.04261612892150879,0.8813706636428833,35497.770491838455,59
18,8,1,0.0075342661094407615,64,50,0.05721022,0.06333023,0.040920667350292206,0.890142023563385,35595.11788511276,60
18,8,1,0.006446696134124954,64,50,0.057677273,0.06545601,0.04327424615621567,0.8826431632041931,35692.73073172569,61
18,8,1,0.008151190544453747,64,50,0.05774575,0.06562025,0.041704706847667694,0.8820534944534302,35790.35992693901,62
18,8,1,0.007101467084885497,64,50,0.057412624,0.06296262,0.041258763521909714,0.891413688659668,35888.442145586014,63
18,8,1,0.007038163103807136,64,50,0.059536424,0.066573754,0.04683849588036537,0.8786008954048157,35986.18029713631,64
18,8,1,0.007318267158285703,64,50,0.05779263,0.067726165,0.04252122715115547,0.8743616342544556,36083.7158575058,65
42,8,1,0.007162934333953167,64,50,0.058487456,0.06494359,0.04401353374123573,0.8847837448120117,36180.345180511475,66
12,145,1,0.001,64,50,0.05804883,0.06461678,0.04211759939789772,0.8855612277984619,36280.59878611565,67
18,59,3,0.001,64,150,0.05259336,0.065452315,0.04262639209628105,0.882656455039978,36636.801152706146,68
18,239,1,0.001,64,50,0.0653556,0.07023604,0.04650768265128136,0.8648769855499268,36744.757174015045,69
18,8,1,0.02945984509085857,16,50,0.067974366,0.07996218,0.05504149943590164,0.8248627185821533,37076.267608881,70
48,156,1,0.002767290278029261,55,91,0.062181495,0.06656689,0.04631243646144867,0.8788730502128601,37280.024698495865,71
36,168,1,0.0017449075289006485,64,50,0.060883556,0.066478655,0.04457824304699898,0.8791763186454773,37381.996656656265,72
